References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1 C2 C4 C5 C9 C13 C17 C22 C24 C25 C26 C27 C28 C31 C32 C34 C35 C37 C38 C39 C41	21	16V 10%	KEMET	C0603C104J4RACTU	399-1097-6-ND	80C0603C104J4R	1466413		1650834
C11 C14 C16 C18	4	Tantalum 16V 6032-28	AVX	F931C107KCC	478-8239-1-ND	647F931C107KCC			
C7 C40	2	16V 5%	Vishay	VJ0603Y103JXJPW1BC	VJ0603Y103JXJPW1BC-ND	77VJ0603Y103JXJPBC			
C6 C15 C21 C33	4	16V 20%	3	EMK107BC6106MA-T	587-4867-1-ND		1843956		
C30 C36	2	16V 5%	KEMET	C0603C102J5RACAUTO	399-12989-6-ND	80C0603C102J5RAUTO			2904630
C20 C42	2	16V 20%	AVX	0603YD105KAT2A	478-1249-6-ND	5810603YD105K	1358333		1327680
C3 C8 C10 C43	4	16V 10%	Vishay	VJ0603A330JXJPW1BC	490-1415-1-ND	81GRM39C330J50	5454115		2695885
C12 C19	2	Tantalum 16V 3528-21	Vishay	293D336X9016B2TE3	478-3090-6-ND	74293D336X9016B2TE3	1361559		1754189
C23 C29	2	16V 5%	Vishay	VJ0603A3R3BXJCW1BC	490-5938-6-ND	81GRM1555C1H3R3CA1D	7769208		2666380
CON1	1	USB SMT+DIP Type	Hirose	ZX62D-B-5PA8(30)	H125718CT-ND	798ZX62DB5PA830	1360893		2554981
D1 D2	2	6.8V Zener	MCC	DL5235B-TP		833DL5235BTP			
D3	1	Green 0805	Kingbright	APHCM2012CGCK-F01	754-1094-1-ND	604APHCM2012CGCK			
D4	1	Blue 0805	Dialight	598-8191-107F	350-2046-6-ND	6455988191107F	8902213		2369034
F1	1	Hold 250mA, Trip 500mA	Bel Fuse	0ZCJ0025FF2E	507-1798-6-ND	5300ZCJ0025FF2E			2834885
J7	1	Straight female 2.54 mm 1row	Samtec	SSW-107-01-T-S	SAM1213-07-ND	200SSW10701TS	1557908		2667434
J2	1	Straight female 2.54 mm 2row	Samtec	SSW-114-01-T-D	SAM1212-14-ND	200SSW11401TD			1804849
J6	1	Straight female 2.54 mm 1row	Samtec	SSW-104-01-T-S	SAM1213-04-ND	200SSW10401TS	1548317		1803393
J16	1	Straight female 2.54 mm 1row	Samtec	SSW-104-01-T-S	SAM1213-04-ND	200SSW10401TS	1548317		1803393
J3	1	Straight female 2.54 mm 1row	Samtec	SSW-104-01-T-S	SAM1213-04-ND	200SSW10401TS	1548317		1803393
J4	1	Straight female 2.54 mm 1row	Samtec	SSW-112-01-T-S	SAM1213-12-ND	200SSW11201TS	1801106		1803966
J8	1	Straight female 2.54 mm 1row	Samtec	SSW-108-01-T-S	SAM1213-08-ND	200SSW10801TS	1800422		
L1	1	300-500 mA Shielded	TDK	MLZ1608N100L		810MLZ1608N100L			
Q2	1	45V Vce, 0.8A Ic, NPN, SOT-23	Nexperia	MMBT3904,215	1727-4044-6-ND	771MMBT3904T/R	7258616		1757935
