References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
C1, C2, C6, C7, C8, C9, C10, C11	8	-20/+80% 50V Y5V SMD MLCC Capacitor 0805	Samsung	CL21F104ZBCNNNC	1276-1007-1-ND				
C3, C4	2	20% 35V SMD Electrolytic Capacitor	Nichicon	UWT1V470MCL1GS	493-2202-1-ND				
C5, C12	2	10% 25V X5R SMD MLCC Capacitor 1206	Samsung	CL31A106KAHNNNE	1276-1075-1-ND				
IC1	1	AVR ATmega Microcontroller IC 8-Bit 20MHz	Microchip	ATMEGA328-AU	ATMEGA328-AU-ND				
L1	1	Wirewound Chip Inductor 900mA 1210	Kemet	L1210R100MDWIT	399-9595-1-ND				
LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED70, LED71, LED72, LED73, LED74, LED75, LED76, LED77, LED78, LED79, LED80, LED81, LED82, LED83, LED84, LED85, LED86, LED87, LED88, LED89, LED90, LED91, LED92, LED93, LED94, LED95, LED96	96	Blue 465nm LED 3V 2-SMD, Gull Wing	Vishay	VLDB1232G-08	VLDB1232G-08CT-ND				
LED97, LED98, LED99	3	SMD LED Green 0805	OSRAM	LG R971-KN-1	475-1410-1-ND				
P1	1	Connector Male Through Hole 2 position 0.156"" (3.96mm)	Molex	0009652028	WM18823-ND				
P2	1	Header Through Hole 2x3way 6 position 0.1"" (2.54mm)	Amphenol ICC	67997-206HLF	609-3234-ND				
R1, R2	2	5% Chip Resistor 0805	Panasonic	ERJ-6GEYJ103V	P10KACT-ND				
R3, R4, R5, R6, R7, R8	6	0.5% Chip Resistor 0805	Susumu	RR1220P-222-D	RR12P2.2KDCT-ND				
R9, R10, R11	3	5% Chip Resistor 0805	Samsung	RC2012J331CS	1276-5519-1-ND				
R15, R16, R17, R18, R19	5	5% Chip Resistor 0805	Panasonic	ERJ-6GEYJ473V	P47KACT-ND				
SW1	1	SPST-NO Top Activated SMD Tactile Switch	C&K	PTS645SK43SMTR92 LFS	CKN9084CT-ND				
U1	1	9 Position Connector SD Card, Surface Mount, Right Angle	Amphenol ICC	101-00313-68-02	101-00313-68-02CT-ND				
U2	1	IC Linear Regulator 3.3V 800mA SOT-223	ST Microelectronics	LD1117S33TR	497-1242-1-ND				
U3, U4, U5, U6, U7, U8	6	LED Driver IC 16 Output 28-HTSSOP	Texas Instruments	TLC5941PWP	296-18617-5-ND				
Y1	1	16MHz Ceramic Resonator SMD	Abracon	AWSCR-16.00CV-T	535-10008-1-ND				
